DATE,RS_FILENAME,COMPRESSED_SIZE,NUMBER_OF_OBJECTS,UNCOMPRESSED_SIZE,RS_SHA1_HASH,RC_FILENAME,RC_SHA256_HASH
2010-03,RS_2010-03.zst,60148071,602586,881968633,0334d0c32cef02b04c148628e09ddb8531ea4391f734b52092f46b94294e48c3,RC_2010-03.bz2,66e76e4e532c0399947568a1e18ad85e272becbb14ea7142f64e80631fc21a17
2010-04,RS_2010-04.zst,61274377,617302,903405387,7a4723d58fd2e02c5f6fcc037608d433db247c792b4a25735240909f812879b6,RC_2010-04.bz2,987460ba6834e5ee67c412a2d2d8ff9e89d85b33d022a3916a613f945568f628
2010-05,RS_2010-05.zst,53948499,515637,758602110,ec52e6ac131f34a6a0883d3a401d48d6c84671f533a4c5f78362e24a501dd01d,RC_2010-05.bz2,d5c4dc2539104fb08eb0d51402d8cb98acac89745d87d39024026cb4a103427a
2010-06,RS_2010-06.zst,51689085,478396,703881665,2c7d6fa19ccc57a798b637bc4e01603cbd0028fb3b9cb9d20408b862af297c01,RC_2010-06.bz2,caf6f326ee9f1067913c186575b03a0aca351c395a61ccc933888af8de924bcd
2010-07,RS_2010-07.zst,56291052,504098,746817337,d261f5caaff1ac0cf8ba3c6b5b50adc3f8be27779ec2f277c23075d745bc2d32,RC_2010-07.bz2,09e0dfd5697641de8e625cff371e5d77374a6e044ece8a1b89bd68a07d1a6b53
2010-08,RS_2010-08.zst,60209778,537480,797563407,81cd048796e9945e09f6318055b28fda1afe2c54f3d56d6adf25251d3f2aae7c,RC_2010-08.bz2,8930a35fdd82bd1b91b0f67e9750da17dd4ee7197f40eac388959795b500dd73
2010-09,RS_2010-09.zst,68662444,600209,895058074,563200613e422a0d0f726defd357c7afc7cfab23273778a25305aa29881c563c,RC_2010-09.bz2,1e71171b3a6ad4ff22985992956a464f2292e1b29ed7071d7337ee1ce068b611
2010-10,RS_2010-10.zst,73342912,630298,948180969,f436d9132aa3c913eb961035df15526cec69c65f5f732ca24d49d3280d2a2371,RC_2010-10.bz2,9df64db55fed48802b49e8ef4fae5cacaef4ad8f1ca1c14e774d3a1569f236b6
2010-11,RS_2010-11.zst,80300226,674615,1034520234,8f6062ddd2ddfc41775bb3249e97d8cd9cc7d5d18dbe6cf40aa4f8a8e511c84e,RC_2010-11.bz2,b2cb394061a6073f493acd2b5ad6930501ed6f7de3bcca78c5084071580c2119
2010-12,RS_2010-12.zst,87301279,729840,1120467970,d8c8fc9ebf1935e1d64bb060546273b0173a25acf085e189ddd80cee10f26e52,RC_2010-12.bz2,2c70d868ced7a33541d9a7cf4d779285c6948b907fca7de6d0bf2bf0f1a49f3a
